foodName,proteinAmt,calorieAmt,cost
Chicken Breast,31,165,0.99
Egg,6,72,0.99
Greek Yogurt,17,100,0.99
Oatmeal,6,158,0.99
Almonds,6,164,0.99
Salmon Fillet,22,208,0.99
Peanut Butter,8,188,0.99
Milk Whole,8,150,0.99
Ground Beef Lean,26,250,0.99
Cheddar Cheese,7,113,0.99
Wholesome Protein Medley,20,141,0.99
Herbal Veggie Protein Bar,23,599,0.99
Golden Beef Protein Bar,8,390,0.99
Sweet Beef Nuggets,19,472,0.99
Wholesome Grain Strips,39,328,0.99
Rustic Nut Crackers,10,348,0.99
Tangy Garden Wafers,20,555,0.99
Organic Pepper Granola,30,232,0.99
Wild Herb Energy Mix,31,366,0.99
Organic Veggie Wafers,5,122,0.99
Wholesome Herb Wafers,29,150,0.99
Wild Chili Granola,11,298,0.99
Wild Grain Protein Bar,1,421,0.99
Roasted Chicken Blend,14,465,0.99
Premium Berry Energy Mix,17,212,0.99
Herbal Veggie Slices,9,86,0.99
Wild Maple Nuggets,37,580,0.99
Classic Maple Medley,17,422,0.99
Hearty Tomato Blend,34,480,0.99
Wholesome Fruit Wafers,32,150,0.99
Glazed Oat Medley,14,265,0.99
Savory Grain Mix,27,107,0.99
Smoked Pepper Blend,13,335,0.99
Fusion Nut Soup,40,135,0.99
Golden Pepper Medley,6,82,0.99
Savory Herb Protein Bar,13,394,0.99
Wholesome Almond Crunch,11,348,0.99
Zesty Chili Bites,34,470,0.99
Tangy Chicken Crumbles,22,547,0.99
Savory Veggie Medley,6,131,0.99
Sweet Pepper Nuggets,18,226,0.99
Glazed Fruit Soup,17,307,0.99
Herbal Tomato Crackers,36,235,0.99
Fresh Oat Nuggets,5,310,0.99
Fusion Garden Soup,38,330,0.99
Glazed Chili Protein Bar,36,494,0.99
Wholesome Berry Medley,31,429,0.99
Zesty Tomato Delight,27,99,0.99
Herbal Garden Nuggets,16,333,0.99
Savory Chicken Strips,6,358,0.99
Premium Veggie Strips,19,406,0.99
Classic Garden Stew,31,567,0.99
Spicy Herb Pasta,4,164,0.99
Roasted Maple Mix,30,577,0.99
Crispy Beef Energy Mix,3,396,0.99
Wild Protein Strips,1,351,0.99
Glazed Chili Energy Mix,23,513,0.99
Wild Tomato Blend,4,263,0.99
Tangy Nut Bites,39,448,0.99
Savory Nut Strips,29,455,0.99
Wholesome Almond Stew,3,94,0.99
Glazed Garden Wafers,29,79,0.99
Wholesome Tomato Crumbles,19,255,0.99
Glazed Pepper Stew,16,337,0.99
Herbal Oat Soup,27,567,0.99
Hearty Berry Pasta,9,285,0.99
Zesty Tomato Pasta,13,398,0.99
Roasted Almond Wafers,2,382,0.99
Tangy Berry Bites,4,549,0.99
Spicy Cocoa Bites,19,433,0.99
Herbal Herb Medley,37,503,0.99
Wild Grain Stew,2,177,0.99
Premium Oat Slices,1,211,0.99
Crispy Tomato Crunch,32,499,0.99
Spicy Peanut Granola,27,584,0.99
Tangy Cocoa Mix,1,253,0.99
Sweet Maple Soup,2,285,0.99
Organic Honey Energy Mix,31,245,0.99
Smoked Cocoa Chunks,34,443,0.99
Fusion Cocoa Stew,7,148,0.99
Spicy Fruit Wafers,6,178,0.99
Tangy Grain Strips,4,53,0.99
Rustic Veggie Protein Bar,21,413,0.99
Smoked Berry Slices,23,241,0.99
Fresh Pepper Pasta,22,398,0.99
Glazed Oat Wafers,16,431,0.99
Hearty Honey Mix,20,505,0.99
Tangy Protein Crumbles,7,432,0.99
Classic Garden Delight,12,115,0.99
Golden Garden Nuggets,7,573,0.99
Wild Vanilla Pasta,23,309,0.99
Savory Chicken Crackers,39,456,0.99
Golden Herb Bites,12,288,0.99
Wholesome Vanilla Rice,24,514,0.99
Hearty Beef Crunch,3,311,0.99
Spicy Grain Granola,1,97,0.99
Wholesome Fruit Crunch,8,288,0.99
Wild Pepper Blend,1,484,0.99
Tangy Almond Crackers,39,423,0.99
Wild Berry Bites,30,221,0.99
Herbal Grain Crumbles,37,544,0.99
